Year,Name,Sex,Accuracy,Samples,Topic,Country,Continent,Column1,Column2
2020,Shirley,female,98,12566,Microbiology,Netherlands,Europe,,
2020,Axel,male,98,15264,Microbiology,Netherlands,Europe,,
2020,Lianna,female,99,300,Microbiology,Netherlands,Europe,,
2020,Alexander,male,99,56237,Microbiology,Netherlands,Europe,,
2020,Heike,female,98,4809,Microbiology,Netherlands,Europe,,
2020,Aravindan,male,99,178,Microbiology,Netherlands,Europe,,
2020,Timo,male,99,8332,Microbiology,Netherlands,Europe,,
2020,Rogier,male,99,539,Microbiology,Netherlands,Europe,,
2020,Nadia,female,98,44698,Microbiology,Netherlands,Europe,,
2020,Philip,male,99,21773,Microbiology,Netherlands,Europe,,
2020,Clarisse,female,98,4067,Microbiology,Netherlands,Europe,,
2017,Carl,male,98,18194,Microbiology,New Zealand,Oceania,,
2018,Jully,female,92,670,Microbiology,New Zealand,Oceania,,
2020,Jemma,female,98,1212,Microbiology,New Zealand,Oceania,,
2018,Olayinka,male,78,1792,Microbiology,Nigeria,Africa,,
2020,Babatunde,male,97,2440,Microbiology,Nigeria,Africa,,
2018,Azia,female,77,128,Microbiology,Norway,Europe,,
2018,Thomas,male,99,129177,Microbiology,Norway,Europe,,
2018,Gro,female,62,224,Microbiology,Norway,Europe,,
2020,Yanxian,female,100,5,Microbiology,Norway,Europe,,
2020,Aleksandr,male,100,5850,Microbiology,Norway,Europe,,
2018,Zuhair,male,99,563,Microbiology,Pakistan,Asia,,
2020,Aneeba,female,71,7,Microbiology,Pakistan,Asia,,
2020,Jawad,male,97,8726,Microbiology,Pakistan,Asia,,
2020,Munira,female,96,434,Microbiology,Pakistan,Asia,,
2020,Michelle,female,97,66957,Microbiology,Papua New Guinea,Oceania,,
2019,Marlene,female,98,11755,Microbiology,Peru,South America,,
2019,Renzo,male,99,3933,Microbiology,Peru,South America,,
2019,Rener,male,95,75,Microbiology,Phillipines,Asia,,
2018,Neuza,female,98,1001,Microbiology,Portugal,Europe,,
2018,David,male,99,381770,Microbiology,Portugal,Europe,,
2019,Ana,female,97,141747,Microbiology,Portugal,Europe,,
2020,F.,male,77,512,Microbiology,Portugal,Europe,,
2020,Alexandra,female,98,53680,Microbiology,Romania,Europe,,
2017,Sergey,male,100,16316,Microbiology,Russia,Europe,,
2018,Abdallah,male,98,6558,Microbiology,Saudi Arabia,Asia,,
2020,Islam,male,100,90,Microbiology,Saudi Arabia,Asia,,
2020,Neda,female,97,2332,Microbiology,Serbia,Europe,,
2017,Brenda,female,98,22551,Microbiology,Singapore,Asia,,
2018,Ezequiel,male,100,6449,Microbiology,Singapore,Asia,,
2020,Nicole,female,98,65299,Microbiology,Singapore,Asia,,
2020,Irina,female,98,21136,Microbiology,Singapore,Asia,,
2018,Teddy,male,94,10228,Microbiology,South Africa,Africa,,
2018,Elzaan,female,97,33,Microbiology,South Africa,Africa,,
2019,Veronique,female,98,15404,Microbiology,South Africa,Africa,,
2019,Ishmael,male,99,946,Microbiology,South Africa,Africa,,
2020,Chinenyenwa,female,100,8,Microbiology,South Africa,Africa,,
2020,Taariq,male,98,96,Microbiology,South Africa,Africa,,
2020,Robert,male,99,145540,Microbiology,South Africa,Africa,,
2017,Francisco,male,99,62346,Microbiology,South America,South America,,
2018,Tuan,male,98,4977,Microbiology,South Korea,Asia,,
2018,Sang,male,88,2448,Microbiology,South Korea,Asia,,
2018,Yesol,female,91,23,Microbiology,South Korea,Asia,,
2020,Hyung,male,93,145,Microbiology,South Korea,Asia,,
2020,Meehyun,unknown,50,2,Microbiology,South Korea,Asia,,
2017,Concha,female,98,757,Microbiology,Spain,Europe,,
2017,Jose,male,97,148383,Microbiology,Spain,Europe,,
2018,Sara,female,98,153041,Microbiology,Spain,Europe,,
2018,Jaime,male,90,24921,Microbiology,Spain,Europe,,
2018,Mirian,female,98,4286,Microbiology,Spain,Europe,,
2018,Laila,female,99,41018,Microbiology,Spain,Europe,,
2018,Manuel,male,99,96874,Microbiology,Spain,Europe,,
2018,Martí,male,94,280,Microbiology,Spain,Europe,,
2018,Adrià,male,99,488,Microbiology,Spain,Europe,,
2019,Silvia,female,98,61342,Microbiology,Spain,Europe,,
2019,Antonio,male,99,180825,Microbiology,Spain,Europe,,
2019,Belén,female,98,1930,Microbiology,Spain,Europe,,
2019,Pablo,male,99,51159,Microbiology,Spain,Europe,,
2019,Jesús,male,99,7086,Microbiology,Spain,Europe,,
2019,Fátima,female,99,3219,Microbiology,Spain,Europe,,
2020,J.,male,82,2236,Microbiology,Spain,Europe,,
2020,Ester,female,98,7612,Microbiology,Spain,Europe,,
2020,Ana,female,97,141747,Microbiology,Spain,Europe,,
